0	50	1.31793
0	44	1.39663
0	43	-0.5425
0	50	1.45413
0	44	1.56249
0	49	1.16859
0	47	0.56721
0	46	0.87644
0	51	2.07017
0	46	0.54806
0	52	0.98701
0	42	1.05968
0	45	1.36691
0	43	1.84394
0	45	0.69093
0	42	0.06083
0	41	1.18704
0	41	0.48696
0	40	1.35265
0	40	0.23723
0	37	0.81657
0	40	0.52405
0	39	0.9718
0	32	0.66436
0	38	0.44469
0	33	1.74816
0	35	0.49935
0	29	0.67985
0	32	0.21735
0	24	0.36983
0	31	0.19903
0	21	0.2539
0	28	0.33405
0	34	0.30094
0	29	0.76992
0	29	-0.0176
1	32	0.22282
1	39	1.35301
1	45	0.38223
1	29	1.00024
1	43	1.36036
1	47	0.40234
1	38	0.05107
1	37	0.29783
1	50	0.37006
1	42	0.28234
1	47	0.44832
1	39	0.59266
1	28	0.54708
1	58	1.33039
1	32	0.10254
1	52	0.99253
1	49	-0.6645
1	40	0.61918
1	36	0.96755
1	50	1.39455
1	40	0.90174
1	49	0.79901
1	42	-0.017
1	37	0.50549
1	44	1.22246
1	37	1.05074
1	51	0.5031
1	22	-0.0116
1	51	0.46308
1	54	-0.0082
1	46	0.48267
1	33	0.77717
